Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat,Very much so,A good amount,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither likely nor unlikely,Neither likely nor unlikely,it’s helpful to assist but not complete work ,Prefer not to say,18-21,Management,Student
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,,Female,18-21,Professor/Faculty,Professor/Faculty
A little,From a friend,To get started with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Very unlikely,Very unlikely,,Female,18-21,,
A great deal,From a family member,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Very likely,Very likely,"My college made a survey about you. Write something you would like them to know  As an AI language model, I am designed to assist and provide helpful responses to users. My capabilities include language translation, text completion, question answering, and more. I am constantly learning and updating my knowledge base to provide accurate and useful information to those who interact with me.  It is important to note that while I am able to provide informative responses, I am not a replacement for human expertise and should be used as a tool to aid in research and problem-solving. Additionally, it is crucial to consider ethical implications when utilizing AI technology and to prioritize transparency and accountability in its development and implementation.  Overall, I hope that my existence and capabilities can be used to enhance the educational experience of students and contribute to the advancement of knowledge in various fields.",Male,18-21,Management,Student
A great deal,From the news,Curiosity,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat likely,Very unlikely,"It seems fun to mess around with, but I wouldn't trust it with actual work or assignments, since it has a tendency to make stuff up and be very confidently incorrect. I might not even realize that information is incorrect, so I would rather do the research myself. I also noticed that ChatGPT doesn't really account for accidentally plagiarizing. For example, I asked it to create a new character for a video game series, but it just gave me a description of a character who already existed with minor details changed. It seems like ChatGPT could easily do the same with other types of work, where it rips off what already exists.",Female,18-21,Management,Student
A little,From the news,To get started with a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,,Female,22-25,,
A great deal,From a friend,Other; please specify,Other; please specify,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,Strongly agree,Very much so,Very much so,A good amount,11 or more times,Curiosity,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Neither likely nor unlikely,"Chatgpt is no different than other resources we have access to such as Google, yahoo, and the internet in general. I have found that Chatgpt is not always right similar to the rest of internet and this should be greatly acknowledge. Chatgtp will offer more concise and direct answers to your questions. I do agree at all with its applications regarding plagiarism but an individual could do the same by taking something from a website.",Male,18-21,Management,Student
A good amount,From the news,To get started with a project,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,6 to 10,Curiosity,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither likely nor unlikely,Somewhat unlikely,"From Googles Bard AI: ""I think ChatGPT is a very impressive language model. It is able to generate text that is both coherent and creative, and it can hold conversations that are both natural and informative. I am excited to see how ChatGPT will continue to develop in the future.""",Male,42-45,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat unlikely,"I think it could make for a useful tool for both students and faculty. Using it as a way to get started in the writing process, as a strategy for developing critical thinking and analysis assignments, etc.",Non-binary / third gender,30-33,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,,Very much so,Somewhat,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat unlikely,,Male,46+,,
A great deal,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,6 to 10,Curiosity,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither likely nor unlikely,Very unlikely,"ChatGPT has tremdous potential as a learning tool but also has the potential to be abused. Students can use it to plagiarize, and there are also quality issues with regard to the answers it generates.",Male,46+,Professor/Faculty,Professor/Faculty
A good amount,Other,To obtain significant help with a project,To obtain significant help with a project,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Very unlikely,"Just like the digital revolution became tools, AI will also become tools. But it will change education and knowledge as a whole, when people not needing to know anything since the tool will know things for them.",Male,46+,Professor/Faculty,Professor/Faculty
A good amount,From a friend,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Very much so,Not at all,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Very likely,Somewhat likely,I think that it is beneficial when it is used to assist someone as a means to an end. I think it is a detriment to learning and fostering creative thinking and ingenuity if it is solely used without the human doing any of the work.,Male,22-25,Management,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Very much so,Very much so,A little,1 to 5,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Very likely,Very likely,I believe it is very important to verify factual output from ChatGPT using outside sources as well,Male,34-37,Professor/Faculty,Professor/Faculty
A great deal,From a friend,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat,Somewhat,Quite a lot,11 or more times,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,"All schooling, even higher education is more about the grades earned than actual learning. Students will continue to use chat gpt for classes and assignments in order to get better grades and feel no remorse about it. ",Male,22-25,Management,Student
